record_index,value_a_dec,value_a_hex,value_a_low16,value_a_high16,value_b_dec,value_b_hex,value_b_low16,value_b_high16,value_c_dec,value_c_hex,value_c_low16,value_c_high16,map_ref_count
0,0,0x00000000,0,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
1,1,0x00000001,1,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
2,2,0x00000002,2,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
3,3,0x00000003,3,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
4,4,0x00000004,4,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
5,5,0x00000005,5,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
6,6,0x00000006,6,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
7,7,0x00000007,7,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
8,8,0x00000008,8,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
9,9,0x00000009,9,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
10,10,0x0000000A,10,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
11,11,0x0000000B,11,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
12,12,0x0000000C,12,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
13,13,0x0000000D,13,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
14,14,0x0000000E,14,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
15,15,0x0000000F,15,0,48,0x00000030,48,0,4294901760,0xFFFF0000,0,65535,12
