record_index,value_a_dec,value_a_hex,value_a_low16,value_a_high16,value_b_dec,value_b_hex,value_b_low16,value_b_high16,value_c_dec,value_c_hex,value_c_low16,value_c_high16,map_ref_count,part_index,part_pixel_x0,part_pixel_y0,part_pixel_x1,part_pixel_y1
0,0,0x00000000,0,0,0,0x00000000,0,0,65536,0x00010000,0,1,82,0,0,0,24,24
1,1,0x00000001,1,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,4,1,26,0,50,24
2,2,0x00000002,2,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,2,2,52,0,76,24
3,3,0x00000003,3,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,4,3,78,0,102,24
4,0,0x00000000,0,0,0,0x00000000,0,0,65536,0x00010000,0,1,4,0,0,0,24,24
5,4,0x00000004,4,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,4,4,104,0,128,24
6,5,0x00000005,5,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,2,5,0,28,24,52
7,6,0x00000006,6,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,4,6,26,28,50,52
8,0,0x00000000,0,0,0,0x00000000,0,0,65536,0x00010000,0,1,1,0,0,0,24,24
9,7,0x00000007,7,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,2,7,52,28,76,52
10,8,0x00000008,8,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,2,8,78,28,102,52
11,9,0x00000009,9,0,16,0x00000010,16,0,4294901760,0xFFFF0000,0,65535,4,9,104,28,128,52
12,0,0x00000000,0,0,0,0x00000000,0,0,4294901760,0xFFFF0000,0,65535,15,0,0,0,24,24
